Кошка: Cat
Собака: Dog
Лев: Lion
Тигр: Tiger
Жираф: Giraffe
Слон: Elephant
Обезьяна: Monkey
Панда: Panda
Зебра: Zebra
Крокодил: Crocodile
Кенгуру: Kangaroo
Олень: Deer
Медведь: Bear
Волк: Wolf
Лиса: Fox
Ёж: Hedgehog
Барсук: Badger
Кролик: Rabbit
Сурок: Groundhog
Бобр: Beaver
Черепаха: Turtle
Змея: Snake
Ящерица: Lizard
Крокодил: Alligator
Попугай: Parrot
Сокол: Falcon
Орёл: Eagle
Сова: Owl
Воробей: Sparrow
Пингвин: Penguin
Павлин: Peacock
Голубь: Pigeon
Утка: Duck
Гусь: Goose
Страус: Ostrich
Фламинго: Flamingo
Гиппопотам: Hippopotamus
Носорог: Rhinoceros
Кит: Whale
Дельфин: Dolphin
Морж: Walrus
Тюлень: Seal
Морская звезда: Starfish
Морская черепаха: Sea Turtle
Акула: Shark
Скат: Stingray
Кальмар: Squid
Краб: Crab
Медуза: Jellyfish
Коралл: Coral
