Овощи: Vegetables
Фрукты: Fruits
Мясо: Meat
Рыба: Fish
Хлеб: Bread
Молоко: Milk
Яйца: Eggs
Сыр: Cheese
Масло: Butter
Сахар: Sugar
Соль: Salt
Перец: Pepper
Чеснок: Garlic
Лук: Onion
Томат: Tomato
Картофель: Potato
Морковь: Carrot
Банан: Banana
Яблоко: Apple
Груша: Pear
Апельсин: Orange
Вино: Wine
Пиво: Beer
Вода: Water
Кофе: Coffee
Чай: Tea
Сок: Juice
Лимон: Lemon
Мед: Honey
Масло оливковое: Olive oil
Соус: Sauce
Майонез: Mayonnaise
Кетчуп: Ketchup
Салат: Salad
Паста: Pasta
Рис: Rice
Хлебцы: Crackers
Каша: Porridge
Шоколад: Chocolate
Мороженое: Ice cream
Кекс: Cake
Пирог: Pie
Печенье: Cookie
Хлебобулочные изделия: Bakery
Конфеты: Candy
Желе: Jelly
Мармелад: Marmalade
Йогурт: Yogurt
